,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue id,Venue Latitude,Venue Longitude,Venue Category
0,Alamo Square,37.77722000000006,-122.43145999999996,Painted Ladies,4b9afa7ef964a520c1e835e3,37.77611954047747,-122.43338919043477,Historic Site
1,Alamo Square,37.77722000000006,-122.43145999999996,Alamo Square,4460d38bf964a5200a331fe3,37.77604493890036,-122.43436268009934,Park
2,Alamo Square,37.77722000000006,-122.43145999999996,Church of 8 Wheels,5296faaf498ea202f87be0f8,37.77473300756682,-122.43086218243958,Roller Rink
3,Alamo Square,37.77722000000006,-122.43145999999996,The Center SF,522926b5498e3269edeba28d,37.77454451433456,-122.43073033291728,Spiritual Center
4,Alamo Square,37.77722000000006,-122.43145999999996,Originals Vinyl,5802ebd1d67c1420ae082a52,37.77583537316656,-122.43122672765473,Record Shop
5,Alamo Square,37.77722000000006,-122.43145999999996,Kebab King,56fef705498ed9078efe13ac,37.779786,-122.431589,Pakistani Restaurant
6,Alamo Square,37.77722000000006,-122.43145999999996,Alamo Square Dog Park,4c2f7b013896e21e7efee390,37.77587824200634,-122.4357395910845,Dog Run
7,Alamo Square,37.77722000000006,-122.43145999999996,African American Art & Culture Center,4b03763ef964a520824f22e3,37.77832850239056,-122.42930593372456,Museum
8,Alamo Square,37.77722000000006,-122.43145999999996,Petit Crenn,55c29cba498e3e3e7a929bb7,37.77634384449128,-122.4264545687113,French Restaurant
9,Alamo Square,37.77722000000006,-122.43145999999996,Suppenküche,42c5d900f964a520d5251fe3,37.776324,-122.426382,German Restaurant
10,Alamo Square,37.77722000000006,-122.43145999999996,Salt & Straw,59e7d9cada2e006b9e519959,37.77653240407315,-122.42605136320933,Ice Cream Shop
11,Alamo Square,37.77722000000006,-122.43145999999996,Domo Sushi,49ce86fff964a520515a1fe3,37.775950987226544,-122.42615120612774,Sushi Restaurant
12,Alamo Square,37.77722000000006,-122.43145999999996,Earthbody,4bd0f496462cb7132686d907,37.77606725809005,-122.42615778298963,Spa
13,Alamo Square,37.77722000000006,-122.43145999999996,The Riddler,58796ae4f22995732d5465c0,37.775985776935656,-122.42613031426995,Wine Bar
14,Alamo Square,37.77722000000006,-122.43145999999996,Folklores Coffee Roastery & Cafe,5ad8c686a0215b2e0c00df53,37.778923999999996,-122.43273799999999,Coffee Shop
15,Alamo Square,37.77722000000006,-122.43145999999996,The Lunchpad,51685f7de4b08ce8b5293934,37.776489599628974,-122.42589636458982,Sandwich Place
16,Alamo Square,37.77722000000006,-122.43145999999996,Oak Gourmet,4b78bbc8f964a520ecdf2ee3,37.77530028489153,-122.42744400937062,Liquor Store
17,Alamo Square,37.77722000000006,-122.43145999999996,Hayes Valley Playground,4aeb6371f964a520a3c121e3,37.776163277824075,-122.42749930269929,Playground
18,Alamo Square,37.77722000000006,-122.43145999999996,Tennis Courts @ Ella Hill Hutch Center,52673365498e301146756a9a,37.7795712029802,-122.42929677829915,Tennis Court
19,Alamo Square,37.77722000000006,-122.43145999999996,Fillmore Street Cafe,49e4c955f964a52043631fe3,37.78147171243314,-122.43246028931661,Café
20,Alamo Square,37.77722000000006,-122.43145999999996,MUNI Bus Stop - Fillmore & McAllister,4f77a7efe4b01af713247d6b,37.778511942404606,-122.43183553136913,Bus Line
